seq,task_id,category,impl_status,priority,screen,route,page_entry,depends_on,req_ref,verify,detail_file
1,PAGE-SCR001,PAGE_OWNER,IMPLEMENT,M,SCR-001,`/`,`src/app/page.tsx`,"CMP-SCR001-HERO, CMP-SCR001-DESTINATION-GRIDS, CMP-SCR001-DESTINATION-DRAWER, CMP-SCR001-THEME-CHIPS, CMP-SCR001-SAFETY-GRID-DRAWER, CMP-SCR001-MATE-TEASER, CMP-SCR001-ABOUT-SUMMARY, DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE, TOOL-LAYOUT-SHELL","REQ-FUNC-001~010, 047~054, 057, 068",E2E-PUBLIC-SMOKE,TASKS/TASK-PAGE-SCR001.md
2,PAGE-SCR002,PAGE_OWNER,IMPLEMENT,M,SCR-002,`/about`,`src/app/about/page.tsx`,"CMP-SCR002-HERO-STATS, CMP-SCR002-INTRO-PHILOSOPHY, CMP-SCR002-TIMELINE, CMP-SCR002-COUNTRIES-CHIPS, CMP-SCR002-GALLERY, CMP-SCR002-RECOMMEND-CTA, DATA-REPRESENTATIVE, TOOL-LAYOUT-SHELL",REQ-FUNC-057~063,E2E-PUBLIC-SMOKE,TASKS/TASK-PAGE-SCR002.md
3,PAGE-SCR003,PAGE_OWNER,IMPLEMENT,M,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-INTRO-TABS, CMP-SCR003-FLIGHT-FORM, CMP-SCR003-HOTEL-FORM, CMP-SCR003-DISCLOSURE-TIPS, CMP-SCR003-MATE-COMPOSER, TOOL-POLICY-PAGES, AUTH-EMAIL-ADULT, SA-MATE-POST, TOOL-LAYOUT-SHELL","REQ-FUNC-011~032, 054, 080",E2E-TRAVEL-TOOLS,TASKS/TASK-PAGE-SCR003.md
4,PAGE-SCR004,PAGE_OWNER,IMPLEMENT,M,SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-FILTER-BAR, CMP-SCR004-MATE-LIST, CMP-SCR004-MATE-DETAIL, CMP-SCR004-APPLY-FLOW, CMP-SCR004-REPORT-BLOCK, SA-MATE-APPLICATION, SA-BLOCK, SA-REPORT, TOOL-LAYOUT-SHELL","REQ-FUNC-030, 033~041",E2E-MATE-AUTH,TASKS/TASK-PAGE-SCR004.md
5,PAGE-SCR005,PAGE_OWNER,IMPLEMENT,M,SCR-005,`/account`,`src/app/account/page.tsx`,"CMP-SCR005-GUEST-AUTH, CMP-SCR005-PROFILE, CMP-SCR005-MY-ACTIVITY, CMP-SCR005-ADMIN-REPORTS, CMP-SCR005-ADMIN-URL-SETTINGS, AUTH-EMAIL-ADULT, SA-ACCOUNT-DELETE, SA-EXTERNAL-URL-SETTINGS, TOOL-LAYOUT-SHELL","REQ-FUNC-028, 029, 036, 038, 040, 041, 045, 066, 077",E2E-MATE-AUTH,TASKS/TASK-PAGE-SCR005.md
6,CMP-SCR001-HERO,COMPONENT,IMPLEMENT,M,SCR-001,— (PAGE-SCR001 소속),—,TOOL-DESIGN-TOKENS,"REQ-FUNC-003, 064",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-HERO.md
7,CMP-SCR001-DESTINATION-GRIDS,COMPONENT,IMPLEMENT,M,SCR-001,—,—,"DATA-DESTINATIONS, TOOL-DESIGN-TOKENS, SA-FAVORITES-LOCALSTORAGE","REQ-FUNC-001, 002, 004, 005, 007, 009, 010, 068, REQ-NF-004",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-DESTINATION-GRIDS.md
8,CMP-SCR001-DESTINATION-DRAWER,COMPONENT,IMPLEMENT,M,SCR-001,—,—,"DATA-DESTINATIONS, CMP-SCR001-SAFETY-GRID-DRAWER","REQ-FUNC-004, 006, 007, 009",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-DESTINATION-DRAWER.md
9,CMP-SCR001-THEME-CHIPS,COMPONENT,IMPLEMENT,S,SCR-001,—,—,"DATA-DESTINATIONS, TOOL-DESIGN-TOKENS","REQ-FUNC-002, 010",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-THEME-CHIPS.md
10,CMP-SCR001-SAFETY-GRID-DRAWER,COMPONENT,IMPLEMENT,M,SCR-001,—,—,"DATA-SAFETY, TOOL-DESIGN-TOKENS","REQ-FUNC-006, 047~054",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-SAFETY-GRID-DRAWER.md
11,CMP-SCR001-MATE-TEASER,COMPONENT,IMPLEMENT,S,SCR-001,—,—,"DB-ACCESS, TOOL-DESIGN-TOKENS",(직접 REQ 없음 — `mate_post` 데이터 재사용),E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-MATE-TEASER.md
12,CMP-SCR001-ABOUT-SUMMARY,COMPONENT,IMPLEMENT,S,SCR-001,—,—,DATA-REPRESENTATIVE,REQ-FUNC-057,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-ABOUT-SUMMARY.md
13,CMP-SCR002-HERO-STATS,COMPONENT,IMPLEMENT,M,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-057,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-HERO-STATS.md
14,CMP-SCR002-INTRO-PHILOSOPHY,COMPONENT,IMPLEMENT,M,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-058,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-INTRO-PHILOSOPHY.md
15,CMP-SCR002-TIMELINE,COMPONENT,IMPLEMENT,S,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-060,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-TIMELINE.md
16,CMP-SCR002-COUNTRIES-CHIPS,COMPONENT,IMPLEMENT,S,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-059,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-COUNTRIES-CHIPS.md
17,CMP-SCR002-GALLERY,COMPONENT,IMPLEMENT(축소),S,SCR-002,—,—,DATA-REPRESENTATIVE,REQ-FUNC-061,MANUAL-RESPONSIVE-A11Y-CHECK,TASKS/TASK-CMP-SCR002-GALLERY.md
18,CMP-SCR002-RECOMMEND-CTA,COMPONENT,IMPLEMENT,S,SCR-002,—,—,"DATA-REPRESENTATIVE, DATA-DESTINATIONS","REQ-FUNC-062, 063",E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-RECOMMEND-CTA.md
19,CMP-SCR003-INTRO-TABS,COMPONENT,IMPLEMENT,M,SCR-003,—,—,TOOL-DESIGN-TOKENS,REQ-FUNC-064,E2E-TRAVEL-TOOLS,TASKS/TASK-CMP-SCR003-INTRO-TABS.md
20,CMP-SCR003-FLIGHT-FORM,COMPONENT,IMPLEMENT(축소 일부),M,SCR-003,—,—,"CMP-SCR003-INTRO-TABS, TOOL-DESIGN-TOKENS","REQ-FUNC-011~018, REQ-NF-017","UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TASKS/TASK-CMP-SCR003-FLIGHT-FORM.md
21,CMP-SCR003-HOTEL-FORM,COMPONENT,IMPLEMENT(축소 일부),M,SCR-003,—,—,"CMP-SCR003-INTRO-TABS, TOOL-DESIGN-TOKENS","REQ-FUNC-019~026, REQ-NF-017","UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TASKS/TASK-CMP-SCR003-HOTEL-FORM.md
